item,experiment_performed,criterion_met,evidence_or_interpretation
Triplet-STDP weight trace,True,True,"Measured CMA-ES-initialised, teacher-independent triplet-STDP weight trajectories are available. The trace should be interpreted together with held-out reconstruction results; synaptic adaptation is not assumed to improve transport fidelity."
Classification and label-shuffle control,True,True,The classifier uses plaintext/source-derived tabular features only. A label-shuffle negative control is included to assess whether predictive performance exceeds chance-level structure.
Teacher-independent transport,True,False,"Primary evaluation contains no Teaching Layer during training or inference. S-DES: BER=0.0060, exact=0.000; DES: BER=0.0149, exact=0.000; AES: BER=0.0173, exact=0.000; ChaCha20: BER=0.0193, exact=0.000; RSA: BER=0.0253, exact=0.000; ECIES: BER=0.0044, exact=0.000"
CMA-ES initialisation control,True,True,"CMA-ES uses generic balanced calibration bytes, matched simulator seeds, and no Teaching Layer. Held-out ciphertext is excluded from the fitness function. CMA-ES-static, CMA-ES+STDP, and default+STDP conditions are compared separately."
Quantitative noise sensitivity,True,False,"Hierarchical paired experiment: 3 model instances × 4 disjoint held-out payloads × 2 independent noise realisations. Perturbation rates of 0, 5, 10, 25, 50, and 100 Hz are evaluated for excitatory, inhibitory, and balanced E/I Poisson background activity. Reported measures include BER, exact ciphertext and plaintext recovery, spike-train distances, bootstrap/Wilson confidence intervals, paired Wilcoxon tests with Holm correction, and repeated-measures Friedman tests. S-DES: BER0=0.0021, exact0=0.000; DES: BER0=0.0117, exact0=0.000; AES: BER0=0.0232, exact0=0.000; ChaCha20: BER0=0.0275, exact0=0.000; RSA: BER0=0.0249, exact0=0.000; ECIES: BER0=0.0000, exact0=1.000"
Stage latency,True,True,"Stage-level latency is measured for encryption, spike encoding, network construction, simulation, readout, decoding, and decryption. Results are stored in stage_timing_trials.csv."
Scalability,True,False,"Only empirically measured payload sizes should be reported. Measured payload sizes: [128, 256, 512, 1024, 2048]. The 1 MB criterion is met only when 1,048,576 bytes is present in scalability_trials.csv."
DES/S-DES terminology,True,True,"S-DES denotes the 10-bit pedagogical Simplified DES cipher, whereas DES denotes the standard 56-bit legacy cipher. Both are evaluated as separate SNN transport conditions and must not be treated as equivalent."
Reproducibility and statistics,True,True,"The public artefacts include environment.json, configuration.json, es_history.csv, es_best_parameters.json, matched seeds and noise conditions, confidence intervals, Wilcoxon/Holm tests, Friedman tests, and Spearman analyses."
Security and energy scope,True,True,"The experiments do not establish a new cryptographic-security guarantee or demonstrate hardware energy efficiency. Cryptographic security remains attributable to the underlying cipher, and energy consumption is not measured directly."
